{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_MinTempFrequency', 2: 'MonteCarlo_Nframe', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'Total_Score', 5: 'rmf_frame_index', 6: 'ReplicaExchange_CurrentTemp', 7: 'rmf_file', 8: 'MonteCarlo_Temperature', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 10: 'MonteCarlo_Acceptance_created rigid body mover_0', 11: 'ExcludedVolumeSphere_None', 12: 'ConnectivityRestraint_None', 9: 'Stopwatch_None_delta_seconds', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.Ti3qNsstH1/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.WWK9eFMbSq/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': 'BAA5F11E-F802-4361-9FF8-3CA90D9DD9A7', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.EO8cddATao/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis/TssK'}"} 
{0: '0', 1: '0', 2: '0', 3: '0', 4: '0.0', 5: 0, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.030002', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '60', 3: '0.0', 4: '0.0', 5: 60, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004666', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '61', 3: '0.0', 4: '0.0', 5: 61, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003205', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '62', 3: '0.0', 4: '0.0', 5: 62, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002498', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '63', 3: '0.0', 4: '0.0', 5: 63, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.008017', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '64', 3: '0.0', 4: '0.0', 5: 64, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005616', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '65', 3: '0.0', 4: '0.0', 5: 65, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.007932', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '66', 3: '0.0', 4: '0.0', 5: 66, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005643', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '67', 3: '0.0', 4: '0.0', 5: 67, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.006711', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '68', 3: '0.0', 4: '0.0', 5: 68, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.007054', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '69', 3: '0.0', 4: '0.0', 5: 69, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.007514', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '70', 3: '0.0', 4: '0.0', 5: 70, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.009264', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '71', 3: '0.0', 4: '0.0', 5: 71, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005114', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '72', 3: '0.0', 4: '0.0', 5: 72, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.006601', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '73', 3: '0.0', 4: '0.0', 5: 73, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004205', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '74', 3: '0.0', 4: '0.0', 5: 74, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004335', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '75', 3: '0.0', 4: '0.0', 5: 75, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003066', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '76', 3: '0.0', 4: '0.0', 5: 76, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003436', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '77', 3: '0.0', 4: '0.0', 5: 77, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005592', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '78', 3: '0.0', 4: '0.0', 5: 78, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003692', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '79', 3: '0.0', 4: '0.0', 5: 79, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003653', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '80', 3: '0.0', 4: '0.0', 5: 80, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004667', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '81', 3: '0.0', 4: '0.0', 5: 81, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00571', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '82', 3: '0.0', 4: '0.0', 5: 82, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00319', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '83', 3: '0.0', 4: '0.0', 5: 83, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002866', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '84', 3: '0.0', 4: '0.0', 5: 84, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00321', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '85', 3: '0.0', 4: '0.0', 5: 85, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003608', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '86', 3: '0.0', 4: '0.0', 5: 86, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002937', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '87', 3: '0.0', 4: '0.0', 5: 87, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00263', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '88', 3: '0.0', 4: '0.0', 5: 88, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002762', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '89', 3: '0.0', 4: '0.0', 5: 89, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003265', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '90', 3: '0.0', 4: '0.0', 5: 90, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00285', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '91', 3: '0.0', 4: '0.0', 5: 91, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.00459', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '92', 3: '0.0', 4: '0.0', 5: 92, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.004018', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '93', 3: '0.0', 4: '0.0', 5: 93, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002654', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '94', 3: '0.0', 4: '0.0', 5: 94, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002468', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '95', 3: '0.0', 4: '0.0', 5: 95, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.007626', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '96', 3: '0.0', 4: '0.0', 5: 96, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.003035', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '97', 3: '0.0', 4: '0.0', 5: 97, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002753', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '98', 3: '0.0', 4: '0.0', 5: 98, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.002917', 10: '1.0', 11: '0.0', 12: '0.0'} 
{0: '0.0', 1: '1.0', 2: '99', 3: '0.0', 4: '0.0', 5: 99, 6: '1.0', 7: 'output_TssK//rmfs//0.rmf3', 8: '1.0', 9: '0.005151', 10: '1.0', 11: '0.0', 12: '0.0'} 
