{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'rmf_frame_index', 2: 'ReplicaExchange_MinTempFrequency', 3: 'MonteCarlo_Nframe', 4: 'MonteCarlo_Acceptance_BallMover2_3', 5: 'Total_Score', 6: 'Stopwatch_None_delta_seconds', 7: 'ReplicaExchange_MaxTempFrequency', 8: 'rmf_file', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 10: 'MonteCarlo_Acceptance_BallMover0_1', 11: 'ReplicaExchange_CurrentTemp', 12: 'MonteCarlo_Acceptance_created rigid body mover_0', 13: 'ExcludedVolumeSphere_None', 14: 'ConnectivityRestraint_None', 15: 'MonteCarlo_Acceptance_BallMover1_2', 9: 'MonteCarlo_Temperature', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.kl3Q9vvxWi/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.aGinC80geS/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': '1CD8B0E0-29C3-4B7A-95FA-0C4D0018FD45', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.6zWPZDMsdk/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis'}"} 
{0: '0', 1: 0, 2: '0', 3: '0', 4: '0.9', 5: '0.228587833419', 6: '0.126934', 7: '0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.7', 11: '1.0', 12: '1.0', 13: '0.205735011169', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 21, 2: '1.0', 3: '21', 4: '0.522727272727', 5: '0.0', 6: '0.03681', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.686363636364', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.727272727273'} 
{0: '0.0', 1: 22, 2: '1.0', 3: '22', 4: '0.530434782609', 5: '0.735629700777', 6: '0.037191', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.682608695652', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.728489030804', 15: '0.713043478261'} 
{0: '0.0', 1: 23, 2: '1.0', 3: '23', 4: '0.5375', 5: '0.0153836241246', 6: '0.03388', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.6875', 11: '1.0', 12: '1.0', 13: '0.0153836241246', 14: '0.0', 15: '0.7125'} 
{0: '0.0', 1: 24, 2: '1.0', 3: '24', 4: '0.556', 5: '0.0', 6: '0.039297', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.684', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 25, 2: '1.0', 3: '25', 4: '0.55', 5: '0.0', 6: '0.035196', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.684615384615', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.703846153846'} 
{0: '0.0', 1: 26, 2: '1.0', 3: '26', 4: '0.559259259259', 5: '0.26107865136', 6: '0.033161', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.685185185185', 11: '1.0', 12: '1.0', 13: '0.26107865136', 14: '0.0', 15: '0.707407407407'} 
{0: '0.0', 1: 27, 2: '1.0', 3: '27', 4: '0.567857142857', 5: '0.685702791193', 6: '0.036092', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.689285714286', 11: '1.0', 12: '1.0', 13: '0.685702791193', 14: '0.0', 15: '0.707142857143'} 
{0: '0.0', 1: 28, 2: '1.0', 3: '28', 4: '0.565517241379', 5: '1.45007816506', 6: '0.033248', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.68275862069', 11: '1.0', 12: '1.0', 13: '1.45007816506', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 29, 2: '1.0', 3: '29', 4: '0.563333333333', 5: '1.59791868665', 6: '0.037967', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.683333333333', 11: '1.0', 12: '1.0', 13: '0.0142846174278', 14: '1.56643142716', 15: '0.7'} 
{0: '0.0', 1: 30, 2: '1.0', 3: '30', 4: '0.567741935484', 5: '0.0200243393943', 6: '0.034927', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.683870967742', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0200243393943', 15: '0.703225806452'} 
{0: '0.0', 1: 31, 2: '1.0', 3: '31', 4: '0.56875', 5: '0.306817566383', 6: '0.045842', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.690625', 11: '1.0', 12: '1.0', 13: '0.306817566383', 14: '0.0', 15: '0.709375'} 
{0: '0.0', 1: 32, 2: '1.0', 3: '32', 4: '0.572727272727', 5: '0.00927560577975', 6: '0.046382', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.684848484848', 11: '1.0', 12: '1.0', 13: '0.00927560577975', 14: '0.0', 15: '0.70303030303'} 
{0: '0.0', 1: 33, 2: '1.0', 3: '33', 4: '0.564705882353', 5: '0.0', 6: '0.044441', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.682352941176', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.705882352941'} 
{0: '0.0', 1: 34, 2: '1.0', 3: '34', 4: '0.562857142857', 5: '1.75815538457', 6: '0.034363', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.674285714286', 11: '1.0', 12: '1.0', 13: '0.892319122565', 14: '0.865836262009', 15: '0.7'} 
{0: '0.0', 1: 35, 2: '1.0', 3: '35', 4: '0.55', 5: '0.0', 6: '0.035546', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.669444444444', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.697222222222'} 
{0: '0.0', 1: 36, 2: '1.0', 3: '36', 4: '0.554054054054', 5: '1.02197975967', 6: '0.036479', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667567567568', 11: '1.0', 12: '1.0', 13: '1.02197975967', 14: '0.0', 15: '0.686486486486'} 
{0: '0.0', 1: 37, 2: '1.0', 3: '37', 4: '0.557894736842', 5: '1.96468749848', 6: '0.03479', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.668421052632', 11: '1.0', 12: '1.0', 13: '1.95210525507', 14: '0.0', 15: '0.681578947368'} 
{0: '0.0', 1: 38, 2: '1.0', 3: '38', 4: '0.561538461538', 5: '0.0', 6: '0.03857', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.666666666667', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.671794871795'} 
{0: '0.0', 1: 39, 2: '1.0', 3: '39', 4: '0.5575', 5: '0.749786426983', 6: '0.034879', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.665', 11: '1.0', 12: '1.0', 13: '0.749786426983', 14: '0.0', 15: '0.6675'} 
{0: '0.0', 1: 40, 2: '1.0', 3: '40', 4: '0.558536585366', 5: '0.0', 6: '0.034466', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.668292682927', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.663414634146'} 
{0: '0.0', 1: 41, 2: '1.0', 3: '41', 4: '0.564285714286', 5: '1.10061352208', 6: '0.03778', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.664285714286', 11: '1.0', 12: '1.0', 13: '1.10061352208', 14: '0.0', 15: '0.661904761905'} 
{0: '0.0', 1: 42, 2: '1.0', 3: '42', 4: '0.56511627907', 5: '0.93961222636', 6: '0.036045', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.66511627907', 11: '1.0', 12: '1.0', 13: '0.93961222636', 14: '0.0', 15: '0.658139534884'} 
{0: '0.0', 1: 43, 2: '1.0', 3: '43', 4: '0.554545454545', 5: '2.00197838415', 6: '0.033478', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.670454545455', 11: '1.0', 12: '1.0', 13: '0.291807850941', 14: '0.0', 15: '0.647727272727'} 
{0: '0.0', 1: 44, 2: '1.0', 3: '44', 4: '0.555555555556', 5: '0.0', 6: '0.036732', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.671111111111', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.642222222222'} 
{0: '0.0', 1: 45, 2: '1.0', 3: '45', 4: '0.55652173913', 5: '0.222634301194', 6: '0.041615', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667391304348', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.645652173913'} 
{0: '0.0', 1: 46, 2: '1.0', 3: '46', 4: '0.559574468085', 5: '0.0917126243398', 6: '0.043881', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.665957446809', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.642553191489'} 
{0: '0.0', 1: 47, 2: '1.0', 3: '47', 4: '0.5625', 5: '0.0527994591208', 6: '0.034488', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.666666666667', 11: '1.0', 12: '1.0', 13: '0.0199753513689', 14: '0.0328241077519', 15: '0.645833333333'} 
{0: '0.0', 1: 48, 2: '1.0', 3: '48', 4: '0.561224489796', 5: '0.101999276575', 6: '0.036881', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667346938776', 11: '1.0', 12: '1.0', 13: '0.101999276575', 14: '0.0', 15: '0.648979591837'} 
{0: '0.0', 1: 49, 2: '1.0', 3: '49', 4: '0.562', 5: '0.00419594439481', 6: '0.034326', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.664', 11: '1.0', 12: '1.0', 13: '0.00419594439481', 14: '0.0', 15: '0.654'} 
{0: '0.0', 1: 50, 2: '1.0', 3: '50', 4: '0.562745098039', 5: '0.0', 6: '0.039148', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.662745098039', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.650980392157'} 
